,0,1,ano,periodo,grupo,consulta,Fonte de Recurso,Dotação Inicial,Autorizado,Empenhado,Liquidado,Pago,Pago Exercício Anterior,A Pagar Exercício Anterior
10,,,2019,Consolidado,Estado,Fonte de Recurso,01000000 - Recursos Ordinários,8879047000.00,8879047000.00,2428777999.55,2205880522.43,2004043830.84,180564446.52,118820120.83
11,,,2019,Consolidado,Estado,Fonte de Recurso,01100000 - Recursos de Depósitos Judiciais da LC 151/2015,25080000.00,101781347.78,53654977.28,53648719.65,53648719.65,0.00,0.00
12,,,2019,Consolidado,Estado,Fonte de Recurso,01110000 - Acordos - Recofarma,1569000.00,1569000.00,0.00,0.00,0.00,0.00,0.00
13,,,2019,Consolidado,Estado,Fonte de Recurso,01120000 - Acordos - Visteon,29000.00,29000.00,0.00,0.00,0.00,0.00,0.00
14,,,2019,Consolidado,Estado,Fonte de Recurso,01130000 - Acordos - Manaus Refrigerante,1000.00,1000.00,0.00,0.00,0.00,0.00,0.00
15,,,2019,Consolidado,Estado,Fonte de Recurso,01140000 - Acordos - Pepsi-Cola,404000.00,404000.00,0.00,0.00,0.00,0.00,0.00
16,,,2019,Consolidado,Estado,Fonte de Recurso,01150000 - Alienação de Bens,951000.00,951000.00,0.00,0.00,0.00,0.00,0.00
17,,,2019,Consolidado,Estado,Fonte de Recurso,01160000 - Contribuição para o Desenvolvimento do Ensino Superior,413659000.00,413659000.00,101238611.25,83696138.88,63577468.05,9644522.87,962125.51
18,,,2019,Consolidado,Estado,Fonte de Recurso,01180000 - RECURSOS DO FECOP,26080000.00,26080000.00,0.00,0.00,0.00,3749238.15,220359.36
19,,,2019,Consolidado,Estado,Fonte de Recurso,01190000 - Outras Contribuições Decorrentes de Incentivos Fiscais e Extra-Fiscais,22489000.00,22489000.00,0.00,0.00,0.00,171893.81,0.00
20,,,2019,Consolidado,Estado,Fonte de Recurso,01200000 - Contribuição do Desenvolvimento Humano,437000.00,437000.00,0.00,0.00,0.00,0.00,0.00
21,,,2019,Consolidado,Estado,Fonte de Recurso,01210000 - Cotaparte do Fundo de Participação dos Estados e do Distrito Federal,2160000000.00,2160000000.00,565181562.84,428717211.99,341498071.54,96587274.10,12381592.40
22,,,2019,Consolidado,Estado,Fonte de Recurso,01270000 - Cotaparte da Contribuição do Salário-Educação,0.00,0.00,0.00,0.00,0.00,0.00,63793.13
23,,,2019,Consolidado,Estado,Fonte de Recurso,01300000 - Cotaparte da Contribuição de Intervenção do Domínio Econômico,20617000.00,20617000.00,828582.37,828582.37,828582.37,0.00,0.00
24,,,2019,Consolidado,Estado,Fonte de Recurso,01400000 - Indenização pela Utilização de Recursos Hídricos e Exploração de Recursos Minerais,20395000.00,20395000.00,5386025.19,4572622.24,1136045.52,1006038.94,65000.00
25,,,2019,Consolidado,Estado,Fonte de Recurso,01450000 - Recursos do Royalties sobre o Petróleo,237907000.00,237907000.00,60046107.37,41552678.19,33930541.61,16974368.55,4811412.85
26,,,2019,Consolidado,Estado,Fonte de Recurso,01460000 - Recursos do FUNDEB,1763234000.00,1763234000.00,295854370.49,265491867.50,262390278.82,18168521.85,7761597.36
27,,,2019,Consolidado,Estado,Fonte de Recurso,01500000 - Outras Transferências de Recursos Federais,18870000.00,18870000.00,1834158.99,1834143.99,1806859.40,294976.41,0.00
28,,,2019,Consolidado,Estado,Fonte de Recurso,01550000 - Recursos de Transferência Financeira LC 87/96,12000000.00,12000000.00,9826.83,0.00,0.00,159349.39,439725.32
29,,,2019,Consolidado,Estado,Fonte de Recurso,01600000 - Recursos do FTI,874378000.00,874378000.00,147464974.95,69053395.31,47276469.81,22802280.08,5493535.35
30,,,2019,Consolidado,Estado,Fonte de Recurso,01700000 - Recursos do FMPES,99205000.00,99205000.00,0.00,0.00,0.00,1858096.30,2619885.31
31,,,2019,Consolidado,Estado,Fonte de Recurso,02010000 - Recursos Diretamente Arrecadados,296128000.00,296128000.00,103177808.03,46772661.04,38255692.61,5644479.03,55564.94
32,,,2019,Consolidado,Estado,Fonte de Recurso,02100000 - Acordos - Pepsi-Cola,0.00,0.00,0.00,0.00,0.00,0.00,1950.00
33,,,2019,Consolidado,Estado,Fonte de Recurso,02270000 - Recursos da Contribuição do Salário-Educação,60000000.00,60000000.00,39763237.18,4517931.53,1530145.80,1727049.88,446487.78
34,,,2019,Consolidado,Estado,Fonte de Recurso,02300000 - Recursos do Sistema Único de Saúde - SUS,457729000.00,457729000.00,83270154.71,31291757.41,25629991.79,38291971.44,2492402.87
35,,,2019,Consolidado,Estado,Fonte de Recurso,02400000 - Transferências do FNAS,20000.00,20000.00,0.00,0.00,0.00,0.00,0.00
36,,,2019,Consolidado,Estado,Fonte de Recurso,02460000 - Complementação do FUNDEB,0.00,200000000.00,151841595.83,8239386.99,4387187.20,0.00,0.00
37,,,2019,Consolidado,Estado,Fonte de Recurso,02500000 - Transferências do FNDE,106168000.00,106168000.00,12894288.22,19536.71,19145.99,2153968.28,1820352.83
38,,,2019,Consolidado,Estado,Fonte de Recurso,02610000 - Fundo Financeiro - RPPS,670707000.00,670707000.00,100582778.93,100534243.95,95987327.20,2100777.83,22725.67
39,,,2019,Consolidado,Estado,Fonte de Recurso,02620000 - Fundo Previdenciário - RPPS,465830000.00,465830000.00,4101178.13,4044074.31,3323888.60,0.00,0.00
40,,,2019,Consolidado,Estado,Fonte de Recurso,02710000 - Operações de Crédito Internas,317436000.00,317436000.00,25578847.89,0.00,0.00,8052220.25,85136.43
41,,,2019,Consolidado,Estado,Fonte de Recurso,02750000 - Operações de Crédito Externas,261871000.00,261871000.00,103565459.75,17750909.55,15636940.72,12415638.91,2349054.42
42,,,2019,Consolidado,Estado,Fonte de Recurso,02800000 - Convênios,46920000.00,46920000.00,15151281.39,6522868.67,45889.27,834748.26,254481.35
43,,,2019,Consolidado,Estado,Fonte de Recurso,02850000 - Outras Fontes,37717000.00,37717000.00,1007122.72,616645.85,470254.55,513947.14,272412.13
44,,,2019,Consolidado,Estado,Fonte de Recurso,02950000 - Transferências de Entidades Internacionais,105000.00,105000.00,0.00,0.00,0.00,0.00,0.00
45,,,2019,Consolidado,Estado,Fonte de Recurso,02960000 - Doações de Pessoas ou Instituições Privadas Nacionais,101000.00,101000.00,0.00,0.00,0.00,3452.61,0.00
46,,,2019,Consolidado,Estado,Fonte de Recurso,03000000 - Recursos Ordinários,0.00,0.00,0.00,0.00,0.00,33153.01,1613422.50
47,,,2019,Consolidado,Estado,Fonte de Recurso,03150000 - Alienação de Bens,0.00,0.00,0.00,0.00,0.00,41591.00,912.00
48,,,2019,Consolidado,Estado,Fonte de Recurso,03160000 - Contribuição para o Desenvolvimento do Ensino Superior,0.00,4667860.50,780803.52,0.00,0.00,1823549.19,536.43
49,,,2019,Consolidado,Estado,Fonte de Recurso,03180000 - RECURSOS DO FECOP,0.00,12095550.00,0.00,0.00,0.00,321806.10,167120.00
50,,,2019,Consolidado,Estado,Fonte de Recurso,03210000 - Cotaparte do Fundo de Participação dos Estados e do Distrito Federal,0.00,0.00,0.00,0.00,0.00,55936.00,0.00
51,,,2019,Consolidado,Estado,Fonte de Recurso,03460000 - Recursos do FUNDEB,0.00,35000000.00,34433266.08,34433266.08,34433266.08,0.00,0.00
52,,,2019,Consolidado,Estado,Fonte de Recurso,03600000 - Recursos do FTI,0.00,867015.26,18228.65,0.00,0.00,0.00,566391.72
53,,,2019,Consolidado,Estado,Fonte de Recurso,04010000 - Recursos Diretamente Arrecadados,0.00,30606571.63,14356359.84,4426901.66,3713715.99,1669348.09,1721950.21
54,,,2019,Consolidado,Estado,Fonte de Recurso,04300000 - Recursos do Sistema Único de Saúde - SUS,0.00,13502986.55,6110378.89,104565.00,62112.00,4853110.04,459662.46
55,,,2019,Consolidado,Estado,Fonte de Recurso,04400000 - Transferências do FNAS,0.00,3323103.91,2561660.63,3201.00,1941.00,22430.84,15296.48
56,,,2019,Consolidado,Estado,Fonte de Recurso,04500000 - Transferências do FNDE,0.00,0.00,0.00,0.00,0.00,1930896.60,40800.00
57,,,2019,Consolidado,Estado,Fonte de Recurso,04620000 - Fundo Previdenciário - RPPS,0.00,0.00,0.00,0.00,0.00,0.00,258.37
58,,,2019,Consolidado,Estado,Fonte de Recurso,04710000 - Operações de Crédito Internas,0.00,13308465.79,1225617.05,0.00,0.00,0.00,0.00
59,,,2019,Consolidado,Estado,Fonte de Recurso,04750000 - Operações de Crédito Externas,0.00,47870000.00,11085235.15,7832244.78,7832244.78,1609869.65,0.00
60,,,2019,Consolidado,Estado,Fonte de Recurso,04800000 - Convênios,0.00,9129296.15,4149721.10,3419212.48,2234979.07,612470.56,4835385.28
61,,,2019,Consolidado,Estado,Fonte de Recurso,04850000 - Outras Fontes,0.00,4155589.08,133416.56,131016.56,121340.47,1002005.82,51224.02
