,0,1,ano,periodo,grupo,consulta,Função,Dotação Inicial,Autorizado,Empenhado,Liquidado,Pago,Pago Exercício Anterior,A Pagar Exercício Anterior
10,,,2019,Consolidado,Estado,Função,01-Legislativa,552469000.00,552469000.00,182929295.79,137099464.16,130884987.32,14653329.08,167466.01
11,,,2019,Consolidado,Estado,Função,02-Judiciária,693951000.00,702662096.97,148569872.26,120321910.98,120317860.98,4777519.09,14168152.17
12,,,2019,Consolidado,Estado,Função,03-Essencial à Justica,323182000.00,325133489.41,77932813.33,66306596.77,58323439.85,4464345.60,35535936.17
13,,,2019,Consolidado,Estado,Função,04-Administração,557166200.00,556207060.74,167576146.01,137238152.55,113727625.47,28100898.54,800599.43
14,,,2019,Consolidado,Estado,Função,06-Segurança Pública,1822921000.00,1851051101.49,529942792.15,496232984.52,437517368.62,66377875.62,7469632.68
15,,,2019,Consolidado,Estado,Função,08-Assistência Social,74030000.00,77619510.47,16062532.01,9077334.69,6328239.27,2013502.36,788128.82
16,,,2019,Consolidado,Estado,Função,09-Previdência Social,1218498300.00,1218485600.18,364541881.84,358973216.95,325482951.49,2741833.89,22984.04
17,,,2019,Consolidado,Estado,Função,10-Saúde,2446992000.00,2461162552.09,777111206.92,513355984.43,452023450.47,113286144.87,21396057.58
18,,,2019,Consolidado,Estado,Função,11-Trabalho,7350000.00,8631735.99,2823573.45,1869290.42,1637542.05,170911.70,69032.37
19,,,2019,Consolidado,Estado,Função,12-Educação,3138335000.00,3419708710.50,775706340.22,503241333.45,439357862.79,127760482.69,67530180.58
20,,,2019,Consolidado,Estado,Função,13-Cultura,100810000.00,102772443.42,55113772.54,31369611.44,22094360.39,1687327.79,1609648.78
21,,,2019,Consolidado,Estado,Função,14-Direitos da Cidadania,505127000.00,510825184.72,142678439.86,98929325.84,72990219.82,12358898.25,17221389.67
22,,,2019,Consolidado,Estado,Função,15-Urbanismo,207968000.00,271707215.94,133100260.50,34635661.72,30150126.04,7648568.71,2866143.16
23,,,2019,Consolidado,Estado,Função,16-Habitação,49693000.00,59112398.65,8958958.11,4031994.01,3816261.15,6549.00,1602.00
24,,,2019,Consolidado,Estado,Função,17-Saneamento,49584500.00,56471525.23,19723599.83,5564516.46,5289436.49,928386.73,1600090.92
25,,,2019,Consolidado,Estado,Função,18-Gestão Ambiental,37567000.00,44565362.81,14414375.68,8001550.31,6978541.00,1491106.40,1530607.11
26,,,2019,Consolidado,Estado,Função,19-Ciência e Tecnologia,127457000.00,127444068.87,8764441.74,7303330.53,6867454.81,5797660.96,6462484.47
27,,,2019,Consolidado,Estado,Função,20-Agricultura,339666000.00,341760124.89,29048858.93,21484317.75,17170441.37,4621027.26,3196606.16
28,,,2019,Consolidado,Estado,Função,21-Organização Agrária,12734500.00,13684500.00,3626485.84,3201834.37,2707445.20,240618.33,335952.11
29,,,2019,Consolidado,Estado,Função,23-Comércio e Serviços,86292000.00,87673000.00,11937947.81,8634220.30,8001938.99,1228168.50,640410.67
30,,,2019,Consolidado,Estado,Função,24-Comunicações,68509000.00,68509000.00,16832287.64,10366396.31,7702437.66,1970023.71,2476331.19
31,,,2019,Consolidado,Estado,Função,26-Transporte,326803000.00,281116944.52,43290040.64,8848292.32,2252840.82,109361.19,386353.59
32,,,2019,Consolidado,Estado,Função,27-Desporto e Lazer,28990000.00,28990000.00,7576007.35,5996367.59,3925176.77,262908.05,1258815.29
33,,,2019,Consolidado,Estado,Função,28-Encargos Especiais,3652108500.00,3733691785.78,837803706.91,833852618.25,768274921.91,35124393.87,937.00
34,,,2019,Consolidado,Estado,Função,99-Reserva de Contingência,868880000.00,846881373.98,0.00,0.00,0.00,0.00,0.00
35,,,2019,Consolidado,Estado,Função,,,,,,,,
36,,,2019,Consolidado,Estado,Função,Portal da Transparência Fiscal v1.0.11,,,,,,,
37,,,2019,Consolidado,Estado,Função,Total:,17297084000.00,17748335786.65,4376065637.36,3425936306.12,3043822930.73,437821842.19,187535541.97
38,,,2019,Consolidado,Estado,Função,Despesas::Estado::Função,,,,,,,
39,,,2019,Consolidado,Estado,Função,"Ano  2019  DOWNLOAD  Lista de Funções  Função Dotação Inicial Autorizado Empenhado Liquidado Pago Pago Exercício Anterior A Pagar Exercício Anterior  Total:  17,297,084,000.00 17,748,335,786.65 4,376,065,637.36 3,425,936,306.12 3,043,822,930.73 437,821,842.19 187,535,541.97 01-Legislativa  552,469,000.00 552,469,000.00 182,929,295.79 137,099,464.16 130,884,987.32 14,653,329.08 167,466.01  02-Judiciária  693,951,000.00 702,662,096.97 148,569,872.26 120,321,910.98 120,317,860.98 4,777,519.09 14,168,152.17  03-Essencial à Justica  323,182,000.00 325,133,489.41 77,932,813.33 66,306,596.77 58,323,439.85 4,464,345.60 35,535,936.17  04-Administração  557,166,200.00 556,207,060.74 167,576,146.01 137,238,152.55 113,727,625.47 28,100,898.54 800,599.43  06-Segurança Pública  1,822,921,000.00 1,851,051,101.49 529,942,792.15 496,232,984.52 437,517,368.62 66,377,875.62 7,469,632.68  08-Assistência Social  74,030,000.00 77,619,510.47 16,062,532.01 9,077,334.69 6,328,239.27 2,013,502.36 788,128.82  09-Previdência Social  1,218,498,300.00 1,218,485,600.18 364,541,881.84 358,973,216.95 325,482,951.49 2,741,833.89 22,984.04  10-Saúde  2,446,992,000.00 2,461,162,552.09 777,111,206.92 513,355,984.43 452,023,450.47 113,286,144.87 21,396,057.58  11-Trabalho  7,350,000.00 8,631,735.99 2,823,573.45 1,869,290.42 1,637,542.05 170,911.70 69,032.37  12-Educação  3,138,335,000.00 3,419,708,710.50 775,706,340.22 503,241,333.45 439,357,862.79 127,760,482.69 67,530,180.58  13-Cultura  100,810,000.00 102,772,443.42 55,113,772.54 31,369,611.44 22,094,360.39 1,687,327.79 1,609,648.78  14-Direitos da Cidadania  505,127,000.00 510,825,184.72 142,678,439.86 98,929,325.84 72,990,219.82 12,358,898.25 17,221,389.67  15-Urbanismo  207,968,000.00 271,707,215.94 133,100,260.50 34,635,661.72 30,150,126.04 7,648,568.71 2,866,143.16  16-Habitação  49,693,000.00 59,112,398.65 8,958,958.11 4,031,994.01 3,816,261.15 6,549.00 1,602.00  17-Saneamento  49,584,500.00 56,471,525.23 19,723,599.83 5,564,516.46 5,289,436.49 928,386.73 1,600,090.92  18-Gestão Ambiental  37,567,000.00 44,565,362.81 14,414,375.68 8,001,550.31 6,978,541.00 1,491,106.40 1,530,607.11  19-Ciência e Tecnologia  127,457,000.00 127,444,068.87 8,764,441.74 7,303,330.53 6,867,454.81 5,797,660.96 6,462,484.47  20-Agricultura  339,666,000.00 341,760,124.89 29,048,858.93 21,484,317.75 17,170,441.37 4,621,027.26 3,196,606.16  21-Organização Agrária  12,734,500.00 13,684,500.00 3,626,485.84 3,201,834.37 2,707,445.20 240,618.33 335,952.11  23-Comércio e Serviços  86,292,000.00 87,673,000.00 11,937,947.81 8,634,220.30 8,001,938.99 1,228,168.50 640,410.67  24-Comunicações  68,509,000.00 68,509,000.00 16,832,287.64 10,366,396.31 7,702,437.66 1,970,023.71 2,476,331.19  26-Transporte  326,803,000.00 281,116,944.52 43,290,040.64 8,848,292.32 2,252,840.82 109,361.19 386,353.59  27-Desporto e Lazer  28,990,000.00 28,990,000.00 7,576,007.35 5,996,367.59 3,925,176.77 262,908.05 1,258,815.29  28-Encargos Especiais  3,652,108,500.00 3,733,691,785.78 837,803,706.91 833,852,618.25 768,274,921.91 35,124,393.87 937.00  99-Reserva de Contingência  868,880,000.00 846,881,373.98 0.00 0.00 0.00 0.00 0.00",,,,,,,
40,,,2019,Consolidado,Estado,Função,Função,Dotação Inicial,Autorizado,Empenhado,Liquidado,Pago,Pago Exercício Anterior,A Pagar Exercício Anterior
41,,,2019,Consolidado,Estado,Função,Total:,17297084000.00,17748335786.65,4376065637.36,3425936306.12,3043822930.73,437821842.19,187535541.97
42,,,2019,Consolidado,Estado,Função,01-Legislativa,552469000.00,552469000.00,182929295.79,137099464.16,130884987.32,14653329.08,167466.01
43,,,2019,Consolidado,Estado,Função,02-Judiciária,693951000.00,702662096.97,148569872.26,120321910.98,120317860.98,4777519.09,14168152.17
44,,,2019,Consolidado,Estado,Função,03-Essencial à Justica,323182000.00,325133489.41,77932813.33,66306596.77,58323439.85,4464345.60,35535936.17
45,,,2019,Consolidado,Estado,Função,04-Administração,557166200.00,556207060.74,167576146.01,137238152.55,113727625.47,28100898.54,800599.43
46,,,2019,Consolidado,Estado,Função,06-Segurança Pública,1822921000.00,1851051101.49,529942792.15,496232984.52,437517368.62,66377875.62,7469632.68
47,,,2019,Consolidado,Estado,Função,08-Assistência Social,74030000.00,77619510.47,16062532.01,9077334.69,6328239.27,2013502.36,788128.82
48,,,2019,Consolidado,Estado,Função,09-Previdência Social,1218498300.00,1218485600.18,364541881.84,358973216.95,325482951.49,2741833.89,22984.04
49,,,2019,Consolidado,Estado,Função,10-Saúde,2446992000.00,2461162552.09,777111206.92,513355984.43,452023450.47,113286144.87,21396057.58
50,,,2019,Consolidado,Estado,Função,11-Trabalho,7350000.00,8631735.99,2823573.45,1869290.42,1637542.05,170911.70,69032.37
51,,,2019,Consolidado,Estado,Função,12-Educação,3138335000.00,3419708710.50,775706340.22,503241333.45,439357862.79,127760482.69,67530180.58
52,,,2019,Consolidado,Estado,Função,13-Cultura,100810000.00,102772443.42,55113772.54,31369611.44,22094360.39,1687327.79,1609648.78
53,,,2019,Consolidado,Estado,Função,14-Direitos da Cidadania,505127000.00,510825184.72,142678439.86,98929325.84,72990219.82,12358898.25,17221389.67
54,,,2019,Consolidado,Estado,Função,15-Urbanismo,207968000.00,271707215.94,133100260.50,34635661.72,30150126.04,7648568.71,2866143.16
55,,,2019,Consolidado,Estado,Função,16-Habitação,49693000.00,59112398.65,8958958.11,4031994.01,3816261.15,6549.00,1602.00
56,,,2019,Consolidado,Estado,Função,17-Saneamento,49584500.00,56471525.23,19723599.83,5564516.46,5289436.49,928386.73,1600090.92
57,,,2019,Consolidado,Estado,Função,18-Gestão Ambiental,37567000.00,44565362.81,14414375.68,8001550.31,6978541.00,1491106.40,1530607.11
58,,,2019,Consolidado,Estado,Função,19-Ciência e Tecnologia,127457000.00,127444068.87,8764441.74,7303330.53,6867454.81,5797660.96,6462484.47
59,,,2019,Consolidado,Estado,Função,20-Agricultura,339666000.00,341760124.89,29048858.93,21484317.75,17170441.37,4621027.26,3196606.16
60,,,2019,Consolidado,Estado,Função,21-Organização Agrária,12734500.00,13684500.00,3626485.84,3201834.37,2707445.20,240618.33,335952.11
61,,,2019,Consolidado,Estado,Função,23-Comércio e Serviços,86292000.00,87673000.00,11937947.81,8634220.30,8001938.99,1228168.50,640410.67
62,,,2019,Consolidado,Estado,Função,24-Comunicações,68509000.00,68509000.00,16832287.64,10366396.31,7702437.66,1970023.71,2476331.19
63,,,2019,Consolidado,Estado,Função,26-Transporte,326803000.00,281116944.52,43290040.64,8848292.32,2252840.82,109361.19,386353.59
64,,,2019,Consolidado,Estado,Função,27-Desporto e Lazer,28990000.00,28990000.00,7576007.35,5996367.59,3925176.77,262908.05,1258815.29
65,,,2019,Consolidado,Estado,Função,28-Encargos Especiais,3652108500.00,3733691785.78,837803706.91,833852618.25,768274921.91,35124393.87,937.00
66,,,2019,Consolidado,Estado,Função,99-Reserva de Contingência,868880000.00,846881373.98,0.00,0.00,0.00,0.00,0.00
67,,,2019,Consolidado,Estado,Função,,,,,,,,
68,,,2019,Consolidado,Estado,Função,Total:,17297084000.00,17748335786.65,4376065637.36,3425936306.12,3043822930.73,437821842.19,187535541.97
69,,,2019,Consolidado,Estado,Função,01-Legislativa,552469000.0,552469000.0,182929295.79,137099464.16,130884987.32,14653329.08,167466.01
70,,,2019,Consolidado,Estado,Função,02-Judiciária,693951000.0,702662096.97,148569872.26,120321910.98,120317860.98,4777519.09,14168152.17
71,,,2019,Consolidado,Estado,Função,03-Essencial à Justica,323182000.0,325133489.41,77932813.33,66306596.77,58323439.85,4464345.6,35535936.17
72,,,2019,Consolidado,Estado,Função,04-Administração,557166200.0,556207060.74,167576146.01,137238152.55,113727625.47,28100898.54,800599.43
73,,,2019,Consolidado,Estado,Função,06-Segurança Pública,1822921000.0,1851051101.49,529942792.15,496232984.52,437517368.62,66377875.62,7469632.68
74,,,2019,Consolidado,Estado,Função,08-Assistência Social,74030000.0,77619510.47,16062532.01,9077334.69,6328239.27,2013502.36,788128.82
75,,,2019,Consolidado,Estado,Função,09-Previdência Social,1218498300.0,1218485600.18,364541881.84,358973216.95,325482951.49,2741833.89,22984.04
76,,,2019,Consolidado,Estado,Função,10-Saúde,2446992000.0,2461162552.09,777111206.92,513355984.43,452023450.47,113286144.87,21396057.58
77,,,2019,Consolidado,Estado,Função,11-Trabalho,7350000.0,8631735.99,2823573.45,1869290.42,1637542.05,170911.7,69032.37
78,,,2019,Consolidado,Estado,Função,12-Educação,3138335000.0,3419708710.5,775706340.22,503241333.45,439357862.79,127760482.69,67530180.58
79,,,2019,Consolidado,Estado,Função,13-Cultura,100810000.0,102772443.42,55113772.54,31369611.44,22094360.39,1687327.79,1609648.78
80,,,2019,Consolidado,Estado,Função,14-Direitos da Cidadania,505127000.0,510825184.72,142678439.86,98929325.84,72990219.82,12358898.25,17221389.67
81,,,2019,Consolidado,Estado,Função,15-Urbanismo,207968000.0,271707215.94,133100260.5,34635661.72,30150126.04,7648568.71,2866143.16
82,,,2019,Consolidado,Estado,Função,16-Habitação,49693000.0,59112398.65,8958958.11,4031994.01,3816261.15,6549.0,1602.0
83,,,2019,Consolidado,Estado,Função,17-Saneamento,49584500.0,56471525.23,19723599.83,5564516.46,5289436.49,928386.73,1600090.92
84,,,2019,Consolidado,Estado,Função,18-Gestão Ambiental,37567000.0,44565362.81,14414375.68,8001550.31,6978541.0,1491106.4,1530607.11
85,,,2019,Consolidado,Estado,Função,19-Ciência e Tecnologia,127457000.0,127444068.87,8764441.74,7303330.53,6867454.81,5797660.96,6462484.47
86,,,2019,Consolidado,Estado,Função,20-Agricultura,339666000.0,341760124.89,29048858.93,21484317.75,17170441.37,4621027.26,3196606.16
87,,,2019,Consolidado,Estado,Função,21-Organização Agrária,12734500.0,13684500.0,3626485.84,3201834.37,2707445.2,240618.33,335952.11
88,,,2019,Consolidado,Estado,Função,23-Comércio e Serviços,86292000.0,87673000.0,11937947.81,8634220.3,8001938.99,1228168.5,640410.67
89,,,2019,Consolidado,Estado,Função,24-Comunicações,68509000.0,68509000.0,16832287.64,10366396.31,7702437.66,1970023.71,2476331.19
90,,,2019,Consolidado,Estado,Função,26-Transporte,326803000.0,281116944.52,43290040.64,8848292.32,2252840.82,109361.19,386353.59
91,,,2019,Consolidado,Estado,Função,27-Desporto e Lazer,28990000.0,28990000.0,7576007.35,5996367.59,3925176.77,262908.05,1258815.29
92,,,2019,Consolidado,Estado,Função,28-Encargos Especiais,3652108500.0,3733691785.78,837803706.91,833852618.25,768274921.91,35124393.87,937.0
93,,,2019,Consolidado,Estado,Função,99-Reserva de Contingência,868880000.0,846881373.98,0.0,0.0,0.0,0.0,0.0
94,,,2019,Consolidado,Estado,Função,Total:,17297084000.0,17748335786.65,4376065637.36,3425936306.12,3043822930.73,437821842.19,187535541.97
95,,,2018,Consolidado,Estado,Função,,,,,,,,
